,1,2,3,4
1,50.0,0.0,0.0,0.0
2,5.0,45.0,0.0,0.0
3,0.0,0.0,50.0,0.0
4,0.0,0.0,0.0,50.0
accuracy,1.0,0.9,1.0,1.0
recall,1.0,0.9,1.0,1.0
precision,0.9090909090909091,1.0,1.0,1.0
F-measur,0.9523809523809523,0.9473684210526316,1.0,1.0
0.975,0.975,0.9772727272727273,0.974937343358396
