,1,2,3,4
1,72.0,5.0,1.0,2.0
2,11.0,69.0,0.0,0.0
3,4.0,0.0,76.0,0.0
4,0.0,0.0,0.0,80.0
accuracy,0.9,0.8625,0.95,1.0
recall,0.9,0.8625,0.95,1.0
precision,0.8275862068965517,0.9324324324324325,0.987012987012987,0.975609756097561
F-measur,0.8622754491017964,0.8961038961038962,0.9681528662420381,0.9876543209876543
0.928125,0.9281250000000001,0.930660345609883,0.9285466331088462
