,1,2,3,4
1,97.0,3.0,0.0,0.0
2,13.0,86.0,0.0,1.0
3,1.0,0.0,99.0,0.0
4,0.0,0.0,0.0,100.0
accuracy,0.97,0.86,0.99,1.0
recall,0.97,0.86,0.99,1.0
precision,0.8738738738738738,0.9662921348314607,1.0,0.9900990099009901
F-measur,0.919431279620853,0.9100529100529101,0.9949748743718593,0.9950248756218906
0.955,0.9550000000000001,0.9575662546515812,0.9548709849168783
