,1,2,3,4
1,47.0,3.0,0.0,0.0
2,8.0,41.0,0.0,1.0
3,1.0,0.0,49.0,0.0
4,0.0,0.0,0.0,50.0
accuracy,0.94,0.82,0.98,1.0
recall,0.94,0.82,0.98,1.0
precision,0.8392857142857143,0.9318181818181818,1.0,0.9803921568627451
F-measur,0.8867924528301886,0.8723404255319149,0.98989898989899,0.99009900990099
0.935,0.9349999999999999,0.9378740132416603,0.934782719540521
